ParticipantNum,Cond,TurnNum,TrustState
P06,OneWay,27,3
P06,,28,
P06,,29,
P06,OneWay,30,3
P06,,31,
P06,,32,
P06,OneWay,33,3
P06,,34,
P06,,35,
P06,OneWay,36,3
P06,,37,
P06,,38,
P06,OneWay,39,3
P06,,40,
,,,
,,,
,,,
P07,,1,
P07,,2,
P07,TwoWay,3,4
P07,,4,
P07,,5,
P07,TwoWay,6,5
P07,,7,
P07,,8,
P07,TwoWay,9,5
P07,,10,
P07,,11,
P07,TwoWay,12,5
P07,,13,
P07,,14,
P07,TwoWay,15,4
P07,,16,
P07,,17,
P07,TwoWay,18,5
P07,,19,
P07,,20,
P07,TwoWay,21,5
P07,,22,
P07,,23,
P07,TwoWay,24,4
P07,,25,
P07,,26,
P07,TwoWay,27,5
P07,,28,
P07,,29,
P07,TwoWay,30,5
P07,,31,
P07,,32,
P07,TwoWay,33,5
P07,,34,
P07,,35,
P07,TwoWay,36,5
P07,,37,
P07,,38,
P07,TwoWay,39,5
P07,,40,
,,,
,,,
,,,
P07,,1,
P07,,2,
P07,OneWay,3,5
P07,,4,
P07,,5,
P07,OneWay,6,5
P07,,7,
P07,,8,
P07,OneWay,9,5
P07,,10,
P07,,11,
P07,OneWay,12,5
P07,,13,
P07,,14,
P07,OneWay,15,5
P07,,16,
P07,,17,
P07,OneWay,18,5
P07,,19,
P07,,20,
P07,OneWay,21,4
P07,,22,
P07,,23,
P07,OneWay,24,4
P07,,25,
P07,,26,
P07,OneWay,27,5
P07,,28,
P07,,29,
P07,OneWay,30,5
P07,,31,
P07,,32,
P07,OneWay,33,5
P07,,34,
P07,,35,
P07,OneWay,36,5
P07,,37,
P07,,38,
P07,OneWay,39,5
P07,,40,
,,,
,,,
,,,
P08,,1,
P08,,2,
P08,TwoWay,3,
P08,,4,
P08,,5,
P08,TwoWay,6,
P08,,7,
P08,,8,
P08,TwoWay,9,
P08,,10,
P08,,11,
P08,TwoWay,12,
P08,,13,
P08,,14,
P08,TwoWay,15,
P08,,16,
P08,,17,
P08,TwoWay,18,
P08,,19,
P08,,20,
P08,TwoWay,21,
P08,,22,
P08,,23,
P08,TwoWay,24,
P08,,25,
P08,,26,
P08,TwoWay,27,
P08,,28,
P08,,29,
P08,TwoWay,30,
P08,,31,
P08,,32,
P08,TwoWay,33,
P08,,34,
P08,,35,
P08,TwoWay,36,
P08,,37,
P08,,38,
P08,TwoWay,39,
P08,,40,
,,,
,,,
,,,
P08,,1,
P08,,2,
P08,OneWay,3,
P08,,4,
P08,,5,
P08,OneWay,6,
P08,,7,
P08,,8,
P08,OneWay,9,
P08,,10,
P08,,11,
P08,OneWay,12,
P08,,13,
P08,,14,
P08,OneWay,15,
P08,,16,
P08,,17,
P08,OneWay,18,
P08,,19,
P08,,20,
P08,OneWay,21,
P08,,22,
P08,,23,
P08,OneWay,24,
P08,,25,
P08,,26,
P08,OneWay,27,
P08,,28,
P08,,29,
P08,OneWay,30,
P08,,31,
P08,,32,
P08,OneWay,33,
P08,,34,
P08,,35,
P08,OneWay,36,
P08,,37,
P08,,38,
P08,OneWay,39,
P08,,40,
,,,
,,,
,,,
P09,,1,
P09,,2,
P09,TwoWay,3,
P09,,4,
P09,,5,
P09,TwoWay,6,
P09,,7,
P09,,8,
P09,TwoWay,9,
P09,,10,
P09,,11,
P09,TwoWay,12,
P09,,13,
P09,,14,
P09,TwoWay,15,
P09,,16,
P09,,17,
P09,TwoWay,18,
P09,,19,
P09,,20,
P09,TwoWay,21,
P09,,22,
P09,,23,
P09,TwoWay,24,
P09,,25,
P09,,26,
P09,TwoWay,27,
P09,,28,
P09,,29,
P09,TwoWay,30,
P09,,31,
P09,,32,
P09,TwoWay,33,
P09,,34,
P09,,35,
P09,TwoWay,36,
P09,,37,
P09,,38,
P09,TwoWay,39,
P09,,40,
,,,
,,,
,,,
P09,,1,
P09,,2,
P09,OneWay,3,
P09,,4,
P09,,5,
P09,OneWay,6,
P09,,7,
P09,,8,
P09,OneWay,9,
P09,,10,
P09,,11,
P09,OneWay,12,
P09,,13,
P09,,14,
P09,OneWay,15,
P09,,16,
P09,,17,
P09,OneWay,18,
P09,,19,
P09,,20,
P09,OneWay,21,
P09,,22,
P09,,23,
P09,OneWay,24,
P09,,25,
P09,,26,
P09,OneWay,27,
P09,,28,
P09,,29,
P09,OneWay,30,
P09,,31,
P09,,32,
P09,OneWay,33,
P09,,34,
P09,,35,
P09,OneWay,36,
P09,,37,
P09,,38,
P09,OneWay,39,
P09,,40,
,,,
,,,
,,,
P10,,1,
P10,,2,
P10,TwoWay,3,
P10,,4,
P10,,5,
P10,TwoWay,6,
P10,,7,
P10,,8,
P10,TwoWay,9,
P10,,10,
P10,,11,
P10,TwoWay,12,
P10,,13,
P10,,14,
P10,TwoWay,15,
P10,,16,
P10,,17,
P10,TwoWay,18,
P10,,19,
P10,,20,
P10,TwoWay,21,
P10,,22,
P10,,23,
P10,TwoWay,24,
P10,,25,
P10,,26,
P10,TwoWay,27,
P10,,28,
P10,,29,
P10,TwoWay,30,
P10,,31,
P10,,32,
P10,TwoWay,33,
P10,,34,
P10,,35,
P10,TwoWay,36,
P10,,37,
P10,,38,
P10,TwoWay,39,
P10,,40,
,,,
,,,
,,,
P10,,1,
P10,,2,
P10,OneWay,3,
P10,,4,
P10,,5,
P10,OneWay,6,
P10,,7,
P10,,8,
P10,OneWay,9,
P10,,10,
P10,,11,
P10,OneWay,12,
P10,,13,
P10,,14,
P10,OneWay,15,
P10,,16,
P10,,17,
P10,OneWay,18,
P10,,19,
P10,,20,
P10,OneWay,21,
P10,,22,
P10,,23,
P10,OneWay,24,
P10,,25,
P10,,26,
P10,OneWay,27,
P10,,28,
P10,,29,
P10,OneWay,30,
P10,,31,
P10,,32,
P10,OneWay,33,
P10,,34,
P10,,35,
P10,OneWay,36,
P10,,37,
P10,,38,
P10,OneWay,39,
P10,,40,
